"type","id","latitude","longitude","name","description","image_url","date_added"
"gym","3eeb5dbce61f48a9805f40d4c9f79fdd.16","52.634291","1.298853","St. Edmund Church","Fisherman Centre","http://lh4.ggpht.com/gZE5AgzMqlrzzCZxxFaKazXz57IrYjSDLpsYJvYHy2R8Dl5G7VNKnCTfK2lip7Jto6ayiPtSSO3dM_nTUEP5QQ","2018-04-11"
"gym","3f32f6f56fbf419c87c9cd2485b74b71.11","52.628189","1.296269","Norwich Castle","Founded between 1066-1075 by William the Conqueror.","http://lh6.ggpht.com/AZafdJRVCF1rKBKsuOqfJfBt4klYQT4hLTaD4Yw_0ZB46LxfJPNVZIm7OYNlkmyh7Z5DzoCUZCgoY5jNe8Z1hQ","2018-04-11"
"gym","4093c4ff8c1a44d48e10201c05c939b1.16","52.642843","1.286694","The King Edward VII","An Old Pub Built in 1902 Now a Live Music Venue.","http://lh3.ggpht.com/nmpnWiUIMep8x_L_SGkOsLwnvA-E0YuxTRQbbfzX9d5tbh3cL2hhqFucOG9wxVCyQk5M71dC2j2JxysQJLyl","2018-04-11"
"gym","4364cb14d8e448219a0278f60dd1a650.16","52.665301","1.227484","John Behm Sculpture","","http://lh6.ggpht.com/Pglv7yTvx65Q3dvhNrQwbff2EuyFJG2_YM0AI_iKiGNdrrLUTZ1GmLKNxSa7YVpfUKyYYqrgXp5qui0wmV1n","2018-04-11"
"gym","440e10e5782d492e8a1822ca8f802663.16","52.661097","1.299833","About Catton Park","","http://lh5.ggpht.com/Q7qFlkq_1BwNHV-eCROWEihG7LD9diTnFQSs87SigM49H7J4dmWaeTuJtGXMEd6egqS2dPqhFYRFCmY3GegN","2018-04-11"
"gym","44efb8c3f33947f2a5a79c019e787a26.11","52.63115","1.286106","St. Benedicts Church Remains","St. Benedict's church was largely destroyed by German carpet bombing in 1942.","http://lh6.ggpht.com/FhlGzYqApig6bKBOHcyfL_cVpixbun6HLtfxYD6-8YomQ1QCa4sARCycZ2VRgpZVImf-lEWxKVgWTRFdV_qou5RI1SwH7YTp27trwmrDaRlbbp346A","2018-04-11"
"gym","454b0799dca548ae823cf289895cfdac.16","52.654178","1.264199","David Lloyd","Stencil pop art lips by unknown artist","http://lh3.googleusercontent.com/n88FubLX80VlBibz8dJo_BqsJbF2sfjmbwr3jVkwtNvroX5hnRhEG9tH_gvQPojJ8vrPrqiRmHIJWOdvbWzlwQ","2018-04-11"
"gym","45b6d2aae2894b12a20fac739aedb4f3.16","52.603035","1.258329","Eaton Vale","","http://lh4.ggpht.com/KfDpyBSLIixhyzBrNOXj6iiOQdnirxGqIw5XzHbTPvMTNTA22PqNcMA_yv9lUf2u0FYWTrfwR76Yof-A5_Ct","2018-04-11"
"gym","46906e9257134f83aa61ce571f0ee725.16","52.660637","1.330458","Sprowston Village Sign","","http://lh3.googleusercontent.com/BeX7pOHFKIU0LvQjzWvG8hltqKdi84oLwafUKnXSbxIyth0aq81wgjs9TsomI4QjTUGreQ5FCGkadm9_fmV6","2018-04-11"
"gym","476daf1dcd6044bf84cbca16584f9ae7.16","52.632376","1.26742","Burial Chapel","","http://lh6.ggpht.com/Izjq9WhXjs1HW-YH5i85h4eP4utmEPinqO89RWzlvboKUEBbFvyLZ9fMnIqkcN5oEFdTKZoFs7RNzys_sMMf","2018-04-11"
